,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
1353434,,2000,2451608.5,65,,7.0,Arson,,,,4.0,B,42.058622,-77.39265
1771363,,2014,2456958.5,301,1735,7.0,Arson,2456958.5,301.0,1800,0.25,A,39.7406,-74.8684
690085,,2004,2453188.5,184,,13.0,Missing/Undefined,2453188.5,184.0,,0.25,A,43.51538889,-70.37344444
1083755,KETT                     ,2003,2452869.5,230,,2.0,Equipment Use,,,,0.5,B,38.11194444,-120.62194444
862196,,1999,2451231.5,53,,7.0,Arson,,,,1.0,B,35.4667,-93.2128
655194,,2008,2454779.5,314,,5.0,Debris Burning,,,,2.0,B,31.32347,-94.81937
124854,TALLY LAKE #2,1999,2451384.5,206,1800,4.0,Campfire,2451385.5,207.0,2100,0.1,A,48.38527778,-114.53333333
1119660,QUARTZ # 2               ,1995,2449978.5,261,,7.0,Arson,,,,1.0,B,40.62888888,-122.42
690748,,1992,2448689.5,68,1346,5.0,Debris Burning,2448689.5,68.0,1430,1.0,B,34.86407338,-88.60475503
38761,LOUIE CREEK,2009,2455029.5,198,1424,1.0,Lightning,2455029.5,198.0,2300,5.8,B,48.93638889,-118.70694444
365503,COL 20C,2002,2452549.5,275,1600,9.0,Miscellaneous,2452549.5,275.0,1600,0.1,A,39.19527778,-122.04805556
1084118,RED RIVER                ,2006,2453869.5,134,,5.0,Debris Burning,,,,0.1,A,38.02805555,-120.25694444
889159,,1999,2451287.5,109,,3.0,Smoking,,,,0.1,A,30.8103,-92.8153
1624655,MCCONNELLSVILLE FIRE,2012,2456031.5,105,,3.0,Smoking,2456036.5,110.0,,13.0,C,43.2872,-75.7057
1131890,SWATHER                  ,1998,2450977.5,164,,2.0,Equipment Use,,,,1.0,B,32.69305555,-116.84694444
890806,,1999,2451504.5,326,,9.0,Miscellaneous,,,,2.0,B,30.2197,-93.6475
158328,LOG,2003,2452881.5,242,1600,1.0,Lightning,2452881.5,242.0,1700,0.1,A,42.61888889,-103.56833333
962163,,1992,2448686.5,65,,6.0,Railroad,,,,2.0,B,26.7,-81.87
305320,BOUNDARY,2002,2452430.5,156,1707,1.0,Lightning,2452461.5,187.0,1628,12.0,C,64.7226,-148.0766
485677,,2009,2455149.5,318,,8.0,Children,,,,1.5,B,43.67161,-84.29186
257461,ALAN,2000,2451836.5,293,1300,5.0,Debris Burning,2451836.5,293.0,1415,0.1,A,48.855,-99.789
1408700,,1992,2448813.5,192,1900,5.0,Debris Burning,2448813.5,192.0,2040,0.24,A,33.0416,-84.6472
141579,PANCO OTTER BRANCH,2001,2452209.5,300,2200,7.0,Arson,2452224.5,315.0,1200,1175.0,F,37.26666667,-83.53333333
1788012,RDW,2014,2456868.5,211,1842,13.0,Missing/Undefined,2456868.5,211.0,1926,1.0,B,40.126534,-123.822162
760959,,1994,2449441.5,89,,5.0,Debris Burning,,,,3.0,B,48.72064,-117.99128
738806,,1994,2449430.5,78,,13.0,Missing/Undefined,2449430.5,78.0,,2.0,B,34.0625,-80.10833333
1038139,BLOWN MOTOR,2000,2451851.5,308,,9.0,Miscellaneous,,,,0.3,B,35.8333,-82.2
1079336,GARCIA                   ,1992,2448809.5,188,,9.0,Miscellaneous,,,,0.3,B,37.10611111,-120.46305555
1372057,,2003,2452746.5,107,1130,8.0,Children,,,,0.2,A,41.7198216,-72.8320435
1777380,NOR-20140426-004,2014,2456773.5,116,,9.0,Miscellaneous,2456773.5,116.0,,17.0,C,34.44141,-85.802471
484851,,2004,2453220.5,216,,4.0,Campfire,,,,0.2,A,45.4282739,-84.54449654
129340,TRIMBLE POINT,2000,2451768.5,225,1000,1.0,Lightning,2451768.5,225.0,1300,0.1,A,37.58805556,-108.50277778
93875,SALOON,1996,2450293.5,211,1500,1.0,Lightning,2450294.5,212.0,1100,0.1,A,41.18,-122.87833333
948908,,1999,2451257.5,79,,5.0,Debris Burning,,,,15.0,C,36.6711,-82.9439
1622899,,2012,2456110.5,184,1648,9.0,Miscellaneous,2456110.5,184.0,1716,0.5,B,41.5082,-74.0874
1815902,05120150120004,2015,2457042.5,20,1830,4.0,Campfire,2457042.5,20.0,2015,5.0,B,33.22908131,-90.10579872
667622,,2006,2453908.5,173,,9.0,Miscellaneous,,,,0.01,A,47.05273174,-123.11370082
1010879,,1994,2449528.5,176,,5.0,Debris Burning,,,,1.0,B,36.155,-79.4283
460794,,2009,2455166.5,335,,7.0,Arson,,,,1.0,B,32.15050469,-81.56373601
725287,GRASS MOUNTAIN,2005,2453692.5,322,,5.0,Debris Burning,2453697.5,327.0,,2.0,B,44.41666,-123.66666
263599,2-BOYS,2003,2452856.5,217,1930,5.0,Debris Burning,2452856.5,217.0,1937,0.1,A,43.1555,-102.3713
1665611,,2013,2456441.5,149,1639,9.0,Miscellaneous,2456448.5,156.0,1516,0.28,B,43.075,-74.7667
1250849,FY2002-BACON-079,2001,2452259.5,350,2328,7.0,Arson,2452260.5,351.0,2328,0.51,B,31.4982,-82.5178
1312450,,2006,2453860.5,125,0048,7.0,Arson,2453860.5,125.0,0048,1.5,B,43.01836322,-73.37722875
16173,RAM 2,2006,2453939.5,204,2130,1.0,Lightning,2453940.5,205.0,1739,0.1,A,41.11833333,-122.66777778
1078221,HWY 152  W/ DEEP WELL R 2,2009,2454968.5,137,,9.0,Miscellaneous,,,,1.0,B,37.055,-120.72611111
240028,MOLLY,1999,2451348.5,170,1800,1.0,Lightning,2451349.5,171.0,1935,1.0,B,34.92366,-108.08806
530200,,2008,2454524.5,59,,13.0,Missing/Undefined,,,,1.0,B,36.41782,-79.82547
1764579,FM 2960,2014,2456899.5,242,,5.0,Debris Burning,,,,2.0,B,31.887815,-97.325993
901538,,1998,2450895.5,82,,1.0,Lightning,,,,5.0,B,35.7036,-94.5681
1630359,HALL ROAD FIRE,2012,2456070.5,144,,9.0,Miscellaneous,,,,110.0,D,33.386375,-98.784428
656188,,2008,2454650.5,185,,9.0,Miscellaneous,,,,0.5,B,33.0676,-97.822
301429,OUTHOUSE,2002,2452361.5,87,2230,5.0,Debris Burning,2452362.5,88.0,0130,0.5,B,33.3353,-110.4518
1005194,,1993,2449069.5,82,,9.0,Miscellaneous,,,,5.0,B,34.6783,-79.045
391177,,2004,2453196.5,192,,1.0,Lightning,,,,0.1,A,35.54001533,-110.97294546
107090,BLACK SHEEP,1998,2451022.5,209,1600,1.0,Lightning,2451042.5,229.0,1300,0.1,A,45.52166667,-115.81
943806,,2001,2452220.5,311,,7.0,Arson,,,,1.5,B,36.7333,-82.2833
279006,EAST TENINO,2008,2454652.5,187,2330,10.0,Fireworks,2454652.5,187.0,2354,0.1,A,44.7605,-121.2505
978909,,1999,2451267.5,89,,2.0,Equipment Use,,,,35.0,C,25.6019,-80.4869
413948,,2006,2453788.5,53,,5.0,Debris Burning,,,,0.2,A,29.58,-81.96917
631235,,2006,2453878.5,143,,5.0,Debris Burning,,,,1.0,B,31.82054998,-99.19625
1825945,,2015,2457163.5,141,,5.0,Debris Burning,2457163.5,141.0,,5.0,B,42.62672,-91.8016
653744,,2007,2454422.5,322,,7.0,Arson,,,,5.0,B,32.03617,-95.06783
233135,W PICKETT,1996,2450251.5,169,1610,3.0,Smoking,2450251.5,169.0,1930,0.2,A,42.4832,-123.5687
903305,,1999,2451388.5,210,,9.0,Miscellaneous,,,,6.0,B,34.6158,-95.4358
1119806,BENSON                   ,2000,2451596.5,53,,2.0,Equipment Use,,,,1.0,B,40.65888888,-122.04
721753,PINEY WOOD,1994,2449452.5,100,,13.0,Missing/Undefined,,,,1.5,B,33.03972244,-105.74944305
1230534,,2010,2455370.5,174,1619,9.0,Miscellaneous,2455370.5,174.0,1619,100.0,D,38.5874,-104.4432
1071837,HWY.33                   ,1993,2449169.5,182,,2.0,Equipment Use,,,,110.0,D,35.95694444,-119.99388888
1403906,,1996,2450127.5,45,1450,5.0,Debris Burning,2450127.5,45.0,1537,0.41,B,31.8065,-81.7537
475728,,2005,2453710.5,340,,4.0,Campfire,,,,2.5,B,31.62717136,-93.35418667
541810,,2000,2451618.5,75,,7.0,Arson,,,,1.0,B,39.39167,-75.05833
820446,,2006,2453897.5,162,,7.0,Arson,,,,2.0,B,31.5108,-89.8169
150847,DAM,2002,2452467.5,193,1410,1.0,Lightning,2452467.5,193.0,1556,0.1,A,35.36833333,-112.37277778
1411409,,1993,2449333.5,346,1500,5.0,Debris Burning,2449333.5,346.0,1555,0.17,A,32.2015,-84.0964
93442,,1996,2450279.5,197,1640,1.0,Lightning,2450279.5,197.0,2000,0.2,A,44.53333333,-119.1
